text,label
Says the Annies List political group supports third-trimester abortions on demand.,1
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",0
Health care reform legislation is likely to mandate free sex change surgeries.,1
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,0
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,0
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",0
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",1
The economy bled $24 billion due to the government shutdown.,0
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,0
"Almost 100,000 people left Puerto Rico last year.",0
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,1
The United States has the highest corporate tax rate in the free world.,0
We just had the best year for the auto industry in America in history.,0
I dont know who (Jonathan Gruber) is.,1
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,0
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",1
Youth unemployment in minority communities is about 40 to 45 percent.,0
Says Paul Ryan is still endorsing Trump.,0
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,1
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,0
Says Mark Pryor votes with Obama 93 percent of the time.,0
We have a federal government that thinks they have the authority to regulate our toilet seats.,0
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,0
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",0
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",1
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",0
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,1
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",1
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,1
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,1
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",1
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,1
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,1
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,0
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,1
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",0
