review	product	review_extracted	product_extracted	model	similarity_1	similarity_2	bert_score	custom_score
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['stubborn baked-on food', 'highly recommend', 'Finish Quantum']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'N/A', 'other keywords': ['tough on grease', 'no residue left']}	Qwen/Qwen2.5-7B-Instruct	0.0	0	29.47	12
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['stubborn baked-on food', 'highly recommend', 'Finish Quantum']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'N/A', 'other keywords': ['Fresh', 'Clean Clothes', 'Every Time']}	Qwen/Qwen2.5-7B-Instruct	0.0	0	38.62	10
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['stubborn baked-on food', 'highly recommend', 'Finish Quantum']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['Great Value', 'Lasts Forever']}	Qwen/Qwen2.5-7B-Instruct	0.0	0	27.25	12
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'no lingering odor']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'N/A', 'other keywords': ['tough on grease', 'no residue left']}	Qwen/Qwen2.5-7B-Instruct	33.33	30	31.69	65
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'no lingering odor']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'N/A', 'other keywords': ['Fresh', 'Clean Clothes', 'Every Time']}	Qwen/Qwen2.5-7B-Instruct	33.33	30	63.82	64
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'no lingering odor']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['Great Value', 'Lasts Forever']}	Qwen/Qwen2.5-7B-Instruct	33.33	30	34.68	64
It leaves a slight sheen, but I love how protected my skin feels.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Naphtha', 'brand': 'N/A', 'other keywords': ['sheen', 'protected', 'skin']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'N/A', 'other keywords': ['tough on grease', 'no residue left']}	Qwen/Qwen2.5-7B-Instruct	33.33	0	29.07	42
It leaves a slight sheen, but I love how protected my skin feels.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Naphtha', 'brand': 'N/A', 'other keywords': ['sheen', 'protected', 'skin']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'N/A', 'other keywords': ['Fresh', 'Clean Clothes', 'Every Time']}	Qwen/Qwen2.5-7B-Instruct	33.33	0	53.91	41
It leaves a slight sheen, but I love how protected my skin feels.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Naphtha', 'brand': 'N/A', 'other keywords': ['sheen', 'protected', 'skin']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['Great Value', 'Lasts Forever']}	Qwen/Qwen2.5-7B-Instruct	0.0	0	32.76	9
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['quantum', 'finish', 'dishwasher', 'detergent']}	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['finish', 'detergent', 'grease']}	meta-llama/Llama-3.1-8B-Instruct	86.67	80	34.95	97
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['quantum', 'finish', 'dishwasher', 'detergent']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['power', 'detergent', 'clothes', 'clean']}	meta-llama/Llama-3.1-8B-Instruct	10.0	0	53.45	13
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['quantum', 'finish', 'dishwasher', 'detergent']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['power', 'great', 'detergent']}	meta-llama/Llama-3.1-8B-Instruct	10.0	0	43.47	12
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'no lingering odor']}	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['finish', 'detergent', 'grease']}	meta-llama/Llama-3.1-8B-Instruct	0.0	0	55.4	13
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'no lingering odor']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['power', 'detergent', 'clothes', 'clean']}	meta-llama/Llama-3.1-8B-Instruct	76.67	75	44.43	96
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'no lingering odor']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['power', 'great', 'detergent']}	meta-llama/Llama-3.1-8B-Instruct	33.33	30	59.12	64
It leaves a slight sheen, but I love how protected my skin feels.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Sunscreens', 'brand': 'N/A', 'other keywords': ['protected skin', 'slight sheen']}	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['finish', 'detergent', 'grease']}	meta-llama/Llama-3.1-8B-Instruct	0.0	0	32.97	10
It leaves a slight sheen, but I love how protected my skin feels.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Sunscreens', 'brand': 'N/A', 'other keywords': ['protected skin', 'slight sheen']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['power', 'detergent', 'clothes', 'clean']}	meta-llama/Llama-3.1-8B-Instruct	0.0	0	29.13	10
It leaves a slight sheen, but I love how protected my skin feels.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Sunscreens', 'brand': 'N/A', 'other keywords': ['protected skin', 'slight sheen']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['power', 'great', 'detergent']}	meta-llama/Llama-3.1-8B-Instruct	0.0	0	38.56	10
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['baked-on food', 'highly recommend']}	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['Tough on Grease', 'No Residue Left']}	google/gemma-2-9b-it	66.67	70	43.88	95
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['baked-on food', 'highly recommend']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['Fresh', 'Clean', 'Clothes', 'Every Time']}	google/gemma-2-9b-it	0.0	0	22.39	12
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['baked-on food', 'highly recommend']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['Great Value', 'Lasts Forever']}	google/gemma-2-9b-it	0.0	0	41.2	12
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'odor']}	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['Tough on Grease', 'No Residue Left']}	google/gemma-2-9b-it	0.0	0	31.69	13
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'odor']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['Fresh', 'Clean', 'Clothes', 'Every Time']}	google/gemma-2-9b-it	66.67	70	66.81	97
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'odor']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['Great Value', 'Lasts Forever']}	google/gemma-2-9b-it	33.33	30	34.68	65
It leaves a slight sheen, but I love how protected my skin feels.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Sunscreens', 'brand': 'N/A', 'other keywords': ['protected', 'slight sheen']}	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['Tough on Grease', 'No Residue Left']}	google/gemma-2-9b-it	0.0	0	47.95	10
It leaves a slight sheen, but I love how protected my skin feels.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Sunscreens', 'brand': 'N/A', 'other keywords': ['protected', 'slight sheen']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['Fresh', 'Clean', 'Clothes', 'Every Time']}	google/gemma-2-9b-it	0.0	0	33.25	10
It leaves a slight sheen, but I love how protected my skin feels.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Sunscreens', 'brand': 'N/A', 'other keywords': ['protected', 'slight sheen']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['Great Value', 'Lasts Forever']}	google/gemma-2-9b-it	0.0	0	51.39	10
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['stubborn baked-on food', 'quantum']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Finish', 'other keywords': ['Tough on Grease', 'No Residue Left']}	ministral-8b-latest	33.33	0	46.84	43
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['stubborn baked-on food', 'quantum']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['Fresh', 'Clean Clothes', 'Every Time']}	ministral-8b-latest	0.0	0	28.25	12
Gets rid of even the most stubborn baked-on food. Highly recommend Finish Quantum.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Dishwasher Detergents', 'brand': 'Finish', 'other keywords': ['stubborn baked-on food', 'quantum']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['Great Value', 'Lasts Forever']}	ministral-8b-latest	0.0	0	43.73	12
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'no lingering odor']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Finish', 'other keywords': ['Tough on Grease', 'No Residue Left']}	ministral-8b-latest	33.33	30	31.69	66
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'no lingering odor']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['Fresh', 'Clean Clothes', 'Every Time']}	ministral-8b-latest	66.67	70	63.82	96
Gets my clothes fresh and clean every time. No lingering odor with Tide.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['fresh', 'clean', 'no lingering odor']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['Great Value', 'Lasts Forever']}	ministral-8b-latest	33.33	30	34.68	64
It leaves a slight sheen, but I love how protected my skin feels.	Finish Detergent – Tough on Grease, No Residue Left	{'product category': 'Sunscreens', 'brand': 'N/A', 'other keywords': ['leaves a slight sheen', 'protected skin feels']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Finish', 'other keywords': ['Tough on Grease', 'No Residue Left']}	ministral-8b-latest	0.0	0	43.29	11
It leaves a slight sheen, but I love how protected my skin feels.	Tide Powder Detergent – Fresh, Clean Clothes Every Time	{'product category': 'Sunscreens', 'brand': 'N/A', 'other keywords': ['leaves a slight sheen', 'protected skin feels']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Tide', 'other keywords': ['Fresh', 'Clean Clothes', 'Every Time']}	ministral-8b-latest	0.0	0	34.77	11
It leaves a slight sheen, but I love how protected my skin feels.	Arm & Hammer Powder Detergent – Great Value, Lasts Forever	{'product category': 'Sunscreens', 'brand': 'N/A', 'other keywords': ['leaves a slight sheen', 'protected skin feels']}	{'product category': 'Powder Detergents for Laundry', 'brand': 'Arm & Hammer', 'other keywords': ['Great Value', 'Lasts Forever']}	ministral-8b-latest	0.0	0	46.3	10
